yearID,teamID,name
1912,CIN,Cincinnati Reds
1912,CLE,Cleveland Naps
1912,DET,Detroit Tigers
1912,NY1,New York Giants
1912,NYA,New York Highlanders
1912,PHA,Philadelphia Athletics
1912,PHI,Philadelphia Phillies
1912,PIT,Pittsburgh Pirates
1912,SLA,St. Louis Browns
1912,SLN,St. Louis Cardinals
1912,WS1,Washington Senators
1913,BOS,Boston Red Sox
1913,BRO,Brooklyn Superbas
1913,BSN,Boston Braves
1913,CHA,Chicago White Sox
1913,CHN,Chicago Cubs
1913,CIN,Cincinnati Reds
1913,CLE,Cleveland Naps
1913,DET,Detroit Tigers
1913,NY1,New York Giants
1913,NYA,New York Yankees
1913,PHA,Philadelphia Athletics
1913,PHI,Philadelphia Phillies
1913,PIT,Pittsburgh Pirates
1913,SLA,St. Louis Browns
1913,SLN,St. Louis Cardinals
1913,WS1,Washington Senators
1914,BLF,Baltimore Terrapins
1914,BOS,Boston Red Sox
1914,BRF,Brooklyn Tip-Tops
1914,BRO,Brooklyn Robins
1914,BSN,Boston Braves
1914,BUF,Buffalo Buffeds
1914,CHA,Chicago White Sox
1914,CHF,Chicago Chi-Feds
1914,CHN,Chicago Cubs
1914,CIN,Cincinnati Reds
1914,CLE,Cleveland Naps
1914,DET,Detroit Tigers
1914,IND,Indianapolis Hoosiers
1914,KCF,Kansas City Packers
1914,NY1,New York Giants
1914,NYA,New York Yankees
1914,PHA,Philadelphia Athletics
1914,PHI,Philadelphia Phillies
1914,PIT,Pittsburgh Pirates
1914,PTF,Pittsburgh Rebels
1914,SLA,St. Louis Browns
1914,SLF,St. Louis Terriers
1914,SLN,St. Louis Cardinals
1914,WS1,Washington Senators
1915,BLF,Baltimore Terrapins
1915,BOS,Boston Red Sox
1915,BRF,Brooklyn Tip-Tops
1915,BRO,Brooklyn Robins
1915,BSN,Boston Braves
1915,BUF,Buffalo Blues
1915,CHA,Chicago White Sox
1915,CHF,Chicago Whales
1915,CHN,Chicago Cubs
1915,CIN,Cincinnati Reds
1915,CLE,Cleveland Indians
