playerID,nameFirst,nameLast,nameGiven
anderma01,Matt,Anderson,Matthew Jason
anderma02,Marlon,Anderson,Marlon Ordell
andermi01,Mike,Anderson,Michael Allen
andermi02,Mike,Anderson,Michael James
anderre01,Red,Anderson,Arnold Revola
anderri01,Rick,Anderson,Richard Lee
anderri02,Rick,Anderson,Richard Arlen
andersc01,Scott,Anderson,Scott Richard
andersp01,Sparky,Anderson,George Lee
anderti01,Tim,Anderson,Timothy Devon
anderty01,Tyler,Anderson,Tyler John
anderva01,Varney,Anderson,Warner Samuel
anderwa01,Walter,Anderson,Walter Carl
anderwi01,Wingo,Anderson,Wingo Charlie
andinro01,Robert,Andino,Robert Lazaro
andrast01,Steve,Andrade,Stephen Michael
andrecl01,Clayton,Andrews,Clayton John
andreed01,Ed,Andrews,George Edward
andreel01,Elbert,Andrews,Elbert DeVore
andreer01,Ernie,Andres,Ernest Henry
andrefr01,Fred,Andrews,Fred
andrehu01,Hub,Andrews,Hubert
andreiv01,Ivy,Andrews,Ivy Paul
andreji01,Jim,Andrews,James Pratt
andrejo01,John,Andre,John Edward
andrejo02,John,Andrews,John Richard
andreki01,Kim,Andrew,Kim Darrell
andremi01,Mike,Andrews,Michael Jay
andrena01,Nate,Andrews,Nathan Hardy
andrero01,Rob,Andrews,Robert Patrick
andresh01,Shane,Andrews,Darrell Shane
andrest01,Stan,Andrews,Stanley Joseph
andrewa01,Wally,Andrews,William Walter
andrima01,Matt,Andriese,Matthew Lee
andrubi01,Bill,Andrus,William Morgan
andruel01,Elvis,Andrus,Elvis Augusto
andrufr01,Fred,Andrus,Frederick Hotham
andruwi01,Wyman,Andrus,William Wiman
andujjo01,Joaquin,Andujar,Joaquin
andujlu01,Luis,Andujar,Luis
angelno01,Norm,Angelini,Norman Stanley
anglema01,Matt,Angle,Matthew Ryan
angleto01,Tom,Angley,Thomas Samuel
ankenpa01,Pat,Ankenman,Frederick Norman
ankieri01,Rick,Ankiel,Richard Alexander
annade01,Dean,Anna,Dean William
annisbi01,Bill,Annis,William Perley
ansonca01,Cap,Anson,Adrian Constantine
anthoer01,Eric,Anthony,Eric Todd
antoldu01,Dustin,Antolin,Dustin Kamakana Mai Ku'u Makualani
antoljo01,Joe,Antolick,Joseph
antonbi01,Bill,Antonello,William James
antonjo01,John,Antonelli,John Lawrence
antonjo02,Johnny,Antonelli,John August
antonma01,Matt,Antonelli,Matthew Antonio
aokino01,Nori,Aoki,Norichika
aparilu01,Luis,Aparicio,Luis Ernesto
apodabo01,Bob,Apodaca,Robert John
apontlu01,Luis,Aponte,Luis Eduardo
appieke01,Kevin,Appier,Robert Kevin
appleed01,Ed,Appleton,Edward Samuel
applefr01,Fred,Applegate,Frederick Romaine
applepe01,Pete,Appleton,Peter William
applilu01,Luke,Appling,Lucius Benjamin
aquingr01,Greg,Aquino,Gregori Emilio
aquinja01,Jayson,Aquino,Jayson Julio
aquinlu01,Luis,Aquino,Luis Antonio
aragoan01,Angel,Aragon,Angel
aragoja01,Jack,Aragon,Angel Valdes
araujel01,Elvis,Araujo,Elvis Alejandro
archdma01,Maurice,Archdeacon,Maurice John
archech01,Chris,Archer,Christopher Alan
archefr01,Fred,Archer,Frederick Marvin
archeji01,Jimmy,Archer,James Patrick
archeji02,Jim,Archer,James William
archige01,George,Archie,George Albert
arciajo01,Jose,Arcia,Jose Raimundo
arciaor01,Orlando,Arcia,Orlando Jesus
arciaos01,Oswaldo,Arcia,Oswaldo Celestino
ardelda01,Dan,Ardell,Daniel Miers
ardizru01,Rugger,Ardizoia,Rinaldo Joseph
